protocolo;data;email;categoria;status;tempo_minutos;descricao
SUP-2026-0001;2026-07-02;aluno1@example.com;Acesso ao AVA;aberto;75;Solicitação de suporte número 1
SUP-2026-0002;2026-07-03;aluno2@example.com;Instalação de programas;em andamento;40;Solicitação de suporte número 2
SUP-2026-0003;2026-07-04;aluno3@example.com;Acesso ao AVA;aberto;156;Solicitação de suporte número 3
SUP-2026-0004;2026-07-05;aluno4@example.com;Senha;aberto;12;Solicitação de suporte número 4
SUP-2026-0005;2026-07-06;aluno5@example.com;Acesso ao AVA;em andamento;64;Solicitação de suporte número 5
SUP-2026-0006;2026-07-07;aluno6@example.com;Execução de atividades;aberto;148;Solicitação de suporte número 6
SUP-2026-0007;2026-07-08;aluno7@example.com;Instalação de programas;resolvido;61;Solicitação de suporte número 7
SUP-2026-0008;2026-07-09;aluno8@example.com;Senha;resolvido;6;Solicitação de suporte número 8
SUP-2026-0009;2026-07-10;aluno9@example.com;Instalação de programas;resolvido;92;Solicitação de suporte número 9
SUP-2026-0011;2026-07-12;aluno11@example.com;Configuração do Python;aberto;28;Solicitação de suporte número 11
SUP-2026-0012;2026-07-13;aluno12@example.com;Senha;aberto;96;Solicitação de suporte número 12
SUP-2026-0013;2026-07-14;aluno13@example.com;Configuração do Python;resolvido;16;Solicitação de suporte número 13
SUP-2026-0014;2026-07-15;aluno14@example.com;Senha;aberto;101;Solicitação de suporte número 14
SUP-2026-0015;2026-07-16;aluno15@example.com;Acesso ao AVA;resolvido;165;Solicitação de suporte número 15
SUP-2026-0016;2026-07-17;aluno16@example.com;Execução de atividades;resolvido;152;Solicitação de suporte número 16
SUP-2026-0017;2026-07-18;aluno17@example.com;Instalação de programas;aberto;16;Solicitação de suporte número 17
SUP-2026-0018;2026-07-19;aluno18@example.com;Instalação de programas;resolvido;25;Solicitação de suporte número 18
SUP-2026-0019;2026-07-20;aluno19@example.com;Instalação de programas;aberto;102;Solicitação de suporte número 19
SUP-2026-0021;2026-07-22;aluno21@example.com;Configuração do Python;em andamento;99;Solicitação de suporte número 21
SUP-2026-0022;2026-07-23;aluno22@example.com;Configuração do Python;em andamento;176;Solicitação de suporte número 22
SUP-2026-0023;2026-07-24;aluno23@example.com;Configuração do Python;aberto;160;Solicitação de suporte número 23
SUP-2026-0024;2026-07-25;aluno24@example.com;Instalação de programas;em andamento;46;Solicitação de suporte número 24
SUP-2026-0025;2026-07-26;aluno25@example.com;Senha;resolvido;74;Solicitação de suporte número 25
SUP-2026-0026;2026-07-27;aluno26@example.com;Execução de atividades;em andamento;180;Solicitação de suporte número 26
SUP-2026-0027;2026-07-28;aluno27@example.com;Configuração do Python;aberto;63;Solicitação de suporte número 27
SUP-2026-0028;2026-07-29;aluno28@example.com;Acesso ao AVA;resolvido;107;Solicitação de suporte número 28
SUP-2026-0029;2026-07-30;aluno29@example.com;Configuração do Python;aberto;59;Solicitação de suporte número 29
SUP-2026-0031;2026-08-01;aluno31@example.com;Senha;resolvido;169;Solicitação de suporte número 31
SUP-2026-0032;2026-08-02;aluno32@example.com;Senha;em andamento;72;Solicitação de suporte número 32
SUP-2026-0033;2026-08-03;aluno33@example.com;Instalação de programas;em andamento;148;Solicitação de suporte número 33
SUP-2026-0034;2026-08-04;aluno34@example.com;Execução de atividades;resolvido;154;Solicitação de suporte número 34
SUP-2026-0035;2026-08-05;aluno35@example.com;Senha;resolvido;97;Solicitação de suporte número 35
SUP-2026-0036;2026-08-06;aluno36@example.com;Instalação de programas;em andamento;135;Solicitação de suporte número 36
SUP-2026-0037;2026-08-07;aluno37@example.com;Senha;aberto;17;Solicitação de suporte número 37
SUP-2026-0038;2026-08-08;aluno38@example.com;Acesso ao AVA;em andamento;165;Solicitação de suporte número 38
SUP-2026-0039;2026-08-09;aluno39@example.com;Instalação de programas;resolvido;157;Solicitação de suporte número 39
SUP-2026-0040;2026-07-01;aluno40@example.com;Não classificada;resolvido;102;Solicitação de suporte número 40
SUP-2026-0041;2026-07-02;aluno41@example.com;Execução de atividades;resolvido;140;Solicitação de suporte número 41
SUP-2026-0042;2026-07-03;aluno42@example.com;Configuração do Python;aberto;179;Solicitação de suporte número 42
