protocolo;data;email;categoria;status;tempo_minutos;descricao;tempo_normalizado
SUP-2026-0001;2026-07-02;aluno1@example.com;Acesso ao AVA;aberto;75;Solicitação de suporte número 1;0.0351
SUP-2026-0002;2026-07-03;aluno2@example.com;Instalação de programas;em andamento;40;Solicitação de suporte número 2;0.0175
SUP-2026-0003;2026-07-04;aluno3@example.com;Acesso ao AVA;aberto;156;Solicitação de suporte número 3;0.0757
SUP-2026-0004;2026-07-05;aluno4@example.com;Senha;aberto;12;Solicitação de suporte número 4;0.0035
SUP-2026-0005;2026-07-06;aluno5@example.com;Acesso ao AVA;em andamento;64;Solicitação de suporte número 5;0.0296
SUP-2026-0006;2026-07-07;aluno6@example.com;Execução de atividades;aberto;148;Solicitação de suporte número 6;0.0717
SUP-2026-0007;2026-07-08;aluno7@example.com;Instalação de programas;resolvido;61;Solicitação de suporte número 7;0.0281
SUP-2026-0008;2026-07-09;aluno8@example.com;Senha;resolvido;6;Solicitação de suporte número 8;0.0005
SUP-2026-0009;2026-07-10;aluno9@example.com;Instalação de programas;resolvido;92;Solicitação de suporte número 9;0.0436
SUP-2026-0011;2026-07-12;aluno11@example.com;Configuração do Python;aberto;28;Solicitação de suporte número 11;0.0115
SUP-2026-0012;2026-07-13;aluno12@example.com;Senha;aberto;96;Solicitação de suporte número 12;0.0456
SUP-2026-0013;2026-07-14;aluno13@example.com;Configuração do Python;resolvido;16;Solicitação de suporte número 13;0.0055
SUP-2026-0014;2026-07-15;aluno14@example.com;Senha;aberto;101;Solicitação de suporte número 14;0.0481
SUP-2026-0015;2026-07-16;aluno15@example.com;Acesso ao AVA;resolvido;165;Solicitação de suporte número 15;0.0802
SUP-2026-0016;2026-07-17;aluno16@example.com;Execução de atividades;resolvido;152;Solicitação de suporte número 16;0.0737
SUP-2026-0017;2026-07-18;aluno17@example.com;Instalação de programas;aberto;16;Solicitação de suporte número 17;0.0055
SUP-2026-0018;2026-07-19;aluno18@example.com;Instalação de programas;resolvido;25;Solicitação de suporte número 18;0.01
SUP-2026-0019;2026-07-20;aluno19@example.com;Instalação de programas;aberto;102;Solicitação de suporte número 19;0.0486
SUP-2026-0021;2026-07-22;aluno21@example.com;Configuração do Python;em andamento;99;Solicitação de suporte número 21;0.0471
SUP-2026-0022;2026-07-23;aluno22@example.com;Configuração do Python;em andamento;176;Solicitação de suporte número 22;0.0857
SUP-2026-0023;2026-07-24;aluno23@example.com;Configuração do Python;aberto;160;Solicitação de suporte número 23;0.0777
SUP-2026-0024;2026-07-25;aluno24@example.com;Instalação de programas;em andamento;46;Solicitação de suporte número 24;0.0206
SUP-2026-0025;2026-07-26;aluno25@example.com;Senha;resolvido;74;Solicitação de suporte número 25;0.0346
SUP-2026-0026;2026-07-27;aluno26@example.com;Execução de atividades;em andamento;180;Solicitação de suporte número 26;0.0877
SUP-2026-0027;2026-07-28;aluno27@example.com;Configuração do Python;aberto;63;Solicitação de suporte número 27;0.0291
SUP-2026-0028;2026-07-29;aluno28@example.com;Acesso ao AVA;resolvido;107;Solicitação de suporte número 28;0.0511
SUP-2026-0029;2026-07-30;aluno29@example.com;Configuração do Python;aberto;59;Solicitação de suporte número 29;0.0271
SUP-2026-0031;2026-08-01;aluno31@example.com;Senha;resolvido;169;Solicitação de suporte número 31;0.0822
SUP-2026-0032;2026-08-02;aluno32@example.com;Senha;em andamento;72;Solicitação de suporte número 32;0.0336
SUP-2026-0033;2026-08-03;aluno33@example.com;Instalação de programas;em andamento;148;Solicitação de suporte número 33;0.0717
SUP-2026-0034;2026-08-04;aluno34@example.com;Execução de atividades;resolvido;154;Solicitação de suporte número 34;0.0747
SUP-2026-0035;2026-08-05;aluno35@example.com;Senha;resolvido;97;Solicitação de suporte número 35;0.0461
SUP-2026-0036;2026-08-06;aluno36@example.com;Instalação de programas;em andamento;135;Solicitação de suporte número 36;0.0652
SUP-2026-0037;2026-08-07;aluno37@example.com;Senha;aberto;17;Solicitação de suporte número 37;0.006
SUP-2026-0038;2026-08-08;aluno38@example.com;Acesso ao AVA;em andamento;165;Solicitação de suporte número 38;0.0802
SUP-2026-0039;2026-08-09;aluno39@example.com;Instalação de programas;resolvido;157;Solicitação de suporte número 39;0.0762
SUP-2026-0040;2026-07-01;aluno40@example.com;Não classificada;resolvido;102;Solicitação de suporte número 40;0.0486
SUP-2026-0041;2026-07-02;aluno41@example.com;Execução de atividades;resolvido;140;Solicitação de suporte número 41;0.0677
SUP-2026-0042;2026-07-03;aluno42@example.com;Configuração do Python;aberto;179;Solicitação de suporte número 42;0.0872
SUP-2026-0043;2026-07-04;aluno43@example.com;Acesso ao AVA;resolvido;169;Solicitação de suporte número 43;0.0822
SUP-2026-0044;2026-07-05;aluno44@example.com;Configuração do Python;aberto;80;Solicitação de suporte número 44;0.0376
SUP-2026-0045;2026-07-06;aluno45@example.com;Senha;em andamento;121;Solicitação de suporte número 45;0.0581
SUP-2026-0046;2026-07-07;aluno46@example.com;Acesso ao AVA;resolvido;133;Solicitação de suporte número 46;0.0642
SUP-2026-0047;2026-07-08;aluno47@example.com;Instalação de programas;aberto;165;Solicitação de suporte número 47;0.0802
SUP-2026-0048;2026-07-09;aluno48@example.com;Configuração do Python;em andamento;44;Solicitação de suporte número 48;0.0195
SUP-2026-0049;2026-07-10;aluno49@example.com;Configuração do Python;em andamento;143;Solicitação de suporte número 49;0.0692
SUP-2026-0051;2026-07-12;aluno51@example.com;Configuração do Python;resolvido;9;Solicitação de suporte número 51;0.002
SUP-2026-0052;2026-07-13;aluno52@example.com;Acesso ao AVA;resolvido;83;Solicitação de suporte número 52;0.0391
SUP-2026-0053;2026-07-14;aluno53@example.com;Instalação de programas;aberto;66;Solicitação de suporte número 53;0.0306
SUP-2026-0054;2026-07-15;aluno54@example.com;Execução de atividades;aberto;26;Solicitação de suporte número 54;0.0105
SUP-2026-0055;2026-07-16;aluno55@example.com;Senha;aberto;141;Solicitação de suporte número 55;0.0682
SUP-2026-0056;2026-07-17;aluno56@example.com;Instalação de programas;em andamento;173;Solicitação de suporte número 56;0.0842
SUP-2026-0057;2026-07-18;aluno57@example.com;Senha;em andamento;72;Solicitação de suporte número 57;0.0336
SUP-2026-0058;2026-07-19;aluno58@example.com;Execução de atividades;resolvido;59;Solicitação de suporte número 58;0.0271
SUP-2026-0059;2026-07-20;aluno59@example.com;Execução de atividades;em andamento;84;Solicitação de suporte número 59;0.0396
SUP-2026-0061;2026-07-22;aluno61@example.com;Execução de atividades;resolvido;35;Solicitação de suporte número 61;0.015
SUP-2026-0062;2026-07-23;aluno62@example.com;Instalação de programas;em andamento;21;Solicitação de suporte número 62;0.008
SUP-2026-0063;2026-07-24;aluno63@example.com;Configuração do Python;aberto;155;Solicitação de suporte número 63;0.0752
SUP-2026-0064;2026-07-25;aluno64@example.com;Execução de atividades;em andamento;155;Solicitação de suporte número 64;0.0752
SUP-2026-0065;2026-07-26;aluno65@example.com;Instalação de programas;aberto;23;Solicitação de suporte número 65;0.009
SUP-2026-0066;2026-07-27;aluno66@example.com;Acesso ao AVA;em andamento;22;Solicitação de suporte número 66;0.0085
SUP-2026-0067;2026-07-28;aluno67@example.com;Acesso ao AVA;resolvido;23;Solicitação de suporte número 67;0.009
SUP-2026-0068;2026-07-29;aluno68@example.com;Execução de atividades;em andamento;76;Solicitação de suporte número 68;0.0356
SUP-2026-0069;2026-07-30;aluno69@example.com;Senha;em andamento;143;Solicitação de suporte número 69;0.0692
SUP-2026-0071;2026-08-01;aluno71@example.com;Senha;resolvido;53;Solicitação de suporte número 71;0.0241
SUP-2026-0072;2026-08-02;aluno72@example.com;Acesso ao AVA;aberto;173;Solicitação de suporte número 72;0.0842
SUP-2026-0073;2026-08-03;aluno73@example.com;Senha;resolvido;113;Solicitação de suporte número 73;0.0541
SUP-2026-0074;2026-08-04;aluno74@example.com;Senha;resolvido;18;Solicitação de suporte número 74;0.0065
SUP-2026-0075;2026-08-05;aluno75@example.com;Acesso ao AVA;aberto;108;Solicitação de suporte número 75;0.0516
SUP-2026-0076;2026-08-06;aluno76@example.com;Configuração do Python;aberto;68;Solicitação de suporte número 76;0.0316
SUP-2026-0077;2026-08-07;aluno77@example.com;Instalação de programas;em andamento;142;Solicitação de suporte número 77;0.0687
SUP-2026-0078;2026-08-08;aluno78@example.com;Senha;em andamento;113;Solicitação de suporte número 78;0.0541
SUP-2026-0079;2026-08-09;aluno79@example.com;Instalação de programas;resolvido;123;Solicitação de suporte número 79;0.0591
PROTOCOLO-80;2026-07-01;aluno80@example.com;Instalação de programas;aberto;118;Solicitação de suporte número 80;0.0566
SUP-2026-0081;2026-07-02;aluno81@example.com;Execução de atividades;aberto;17;Solicitação de suporte número 81;0.006
SUP-2026-0082;2026-07-03;aluno82@example.com;Execução de atividades;aberto;28;Solicitação de suporte número 82;0.0115
SUP-2026-0083;2026-07-04;aluno83@example.com;Instalação de programas;em andamento;109;Solicitação de suporte número 83;0.0521
SUP-2026-0084;2026-07-05;aluno84@example.com;Senha;resolvido;59;Solicitação de suporte número 84;0.0271
SUP-2026-0085;2026-07-06;aluno85@example.com;Senha;aberto;47;Solicitação de suporte número 85;0.0211
SUP-2026-0086;2026-07-07;aluno86@example.com;Senha;aberto;104;Solicitação de suporte número 86;0.0496
SUP-2026-0087;2026-07-08;aluno87@example.com;Configuração do Python;resolvido;78;Solicitação de suporte número 87;0.0366
SUP-2026-0088;2026-07-09;aluno88@example.com;Senha;resolvido;44;Solicitação de suporte número 88;0.0195
SUP-2026-0089;2026-07-10;aluno89@example.com;Instalação de programas;resolvido;60;Solicitação de suporte número 89;0.0276
SUP-2026-0091;2026-07-12;aluno91@example.com;Acesso ao AVA;aberto;154;Solicitação de suporte número 91;0.0747
SUP-2026-0092;2026-07-13;aluno92@example.com;Senha;em andamento;19;Solicitação de suporte número 92;0.007
SUP-2026-0093;2026-07-14;aluno93@example.com;Execução de atividades;aberto;52;Solicitação de suporte número 93;0.0236
SUP-2026-0094;2026-07-15;aluno94@example.com;Acesso ao AVA;aberto;177;Solicitação de suporte número 94;0.0862
SUP-2026-0095;2026-07-16;aluno95@example.com;Instalação de programas;resolvido;35;Solicitação de suporte número 95;0.015
SUP-2026-0096;2026-07-17;aluno96@example.com;Execução de atividades;em andamento;153;Solicitação de suporte número 96;0.0742
SUP-2026-0097;2026-07-18;aluno97@example.com;Execução de atividades;aberto;163;Solicitação de suporte número 97;0.0792
SUP-2026-0098;2026-07-19;aluno98@example.com;Acesso ao AVA;resolvido;173;Solicitação de suporte número 98;0.0842
SUP-2026-0099;2026-07-20;aluno99@example.com;Execução de atividades;resolvido;71;Solicitação de suporte número 99;0.0331
SUP-2026-0100;2026-07-21;aluno100@example.com;Instalação de programas;resolvido;2000;Solicitação de suporte número 100;1.0
SUP-2026-0101;2026-07-22;aluno101@example.com;Configuração do Python;resolvido;38;Solicitação de suporte número 101;0.0165
SUP-2026-0102;2026-07-23;aluno102@example.com;Configuração do Python;resolvido;85;Solicitação de suporte número 102;0.0401
SUP-2026-0103;2026-07-24;aluno103@example.com;Acesso ao AVA;aberto;122;Solicitação de suporte número 103;0.0586
SUP-2026-0104;2026-07-25;aluno104@example.com;Execução de atividades;aberto;23;Solicitação de suporte número 104;0.009
SUP-2026-0105;2026-07-26;aluno105@example.com;Execução de atividades;em andamento;134;Solicitação de suporte número 105;0.0647
SUP-2026-0106;2026-07-27;aluno106@example.com;Configuração do Python;em andamento;94;Solicitação de suporte número 106;0.0446
SUP-2026-0107;2026-07-28;aluno107@example.com;Acesso ao AVA;em andamento;99;Solicitação de suporte número 107;0.0471
SUP-2026-0108;2026-07-29;aluno108@example.com;Configuração do Python;em andamento;117;Solicitação de suporte número 108;0.0561
SUP-2026-0109;2026-07-30;aluno109@example.com;Execução de atividades;resolvido;161;Solicitação de suporte número 109;0.0782
SUP-2026-0110;2026-07-31;aluno110@example.com;Não classificada;aberto;175;Solicitação de suporte número 110;0.0852
SUP-2026-0111;2026-08-01;aluno111@example.com;Execução de atividades;resolvido;174;Solicitação de suporte número 111;0.0847
SUP-2026-0112;2026-08-02;aluno112@example.com;Acesso ao AVA;em andamento;72;Solicitação de suporte número 112;0.0336
SUP-2026-0113;2026-08-03;aluno113@example.com;Acesso ao AVA;aberto;146;Solicitação de suporte número 113;0.0707
SUP-2026-0114;2026-08-04;aluno114@example.com;Instalação de programas;resolvido;77;Solicitação de suporte número 114;0.0361
SUP-2026-0115;2026-08-05;aluno115@example.com;Execução de atividades;em andamento;92;Solicitação de suporte número 115;0.0436
SUP-2026-0116;2026-08-06;aluno116@example.com;Instalação de programas;resolvido;134;Solicitação de suporte número 116;0.0647
SUP-2026-0117;2026-08-07;aluno117@example.com;Senha;resolvido;18;Solicitação de suporte número 117;0.0065
SUP-2026-0118;2026-08-08;aluno118@example.com;Acesso ao AVA;resolvido;75;Solicitação de suporte número 118;0.0351
SUP-2026-0119;2026-08-09;aluno119@example.com;Acesso ao AVA;aberto;90;Solicitação de suporte número 119;0.0426
SUP-2026-0121;2026-07-02;aluno121@example.com;Senha;resolvido;148;Solicitação de suporte número 121;0.0717
SUP-2026-0122;2026-07-03;aluno122@example.com;Acesso ao AVA;aberto;24;Solicitação de suporte número 122;0.0095
SUP-2026-0123;2026-07-04;aluno123@example.com;Instalação de programas;aberto;99;Solicitação de suporte número 123;0.0471
SUP-2026-0124;2026-07-05;aluno124@example.com;Execução de atividades;em andamento;115;Solicitação de suporte número 124;0.0551
SUP-2026-0125;2026-07-06;aluno125@example.com;Instalação de programas;aberto;83;Solicitação de suporte número 125;0.0391
SUP-2026-0126;2026-07-07;aluno126@example.com;Configuração do Python;aberto;96;Solicitação de suporte número 126;0.0456
SUP-2026-0127;2026-07-08;aluno127@example.com;Instalação de programas;em andamento;175;Solicitação de suporte número 127;0.0852
SUP-2026-0128;2026-07-09;aluno128@example.com;Acesso ao AVA;resolvido;148;Solicitação de suporte número 128;0.0717
